localizacao;latitude;longitude
Palmas de Monte Alto,BA,Brasil;-14.2636093;-43.1649976 
Wanderley,BA,Brasil;-12.1208986;-43.8905685 
Bonito,BA,Brasil;-11.9665473;-41.2649896 
Caravelas,BA,Brasil;-17.7296514;-39.2660082 
Formosa do Rio Preto,BA,Brasil;-11.0414544;-45.1903983 
Ibicuí,BA,Brasil;-14.84496;-39.987915 
Matina,BA,Brasil;-13.9098616;-42.8461536 
Sítio do Quinto,BA,Brasil;-10.3675979;-38.2041664 
Brotas de Macaúbas,BA,Brasil;-12.0019007;-42.6257506 
Chorrochó,BA,Brasil;-8.9774059;-39.0993132 
Ibipitanga,BA,Brasil;-12.880435;-42.485568 
Iramaia,BA,Brasil;-13.2937451;-40.9576036 
Jussara,BA,Brasil;-11.0473921;-41.97167 
Planalto,BA,Brasil;-14.6689214;-40.481006 
Pé de Serra,BA,Brasil;-11.8346273;-39.6108675 
Tanque Novo,BA,Brasil;-13.5474243;-42.4907587 
Tremedal,BA,Brasil;-14.9772387;-41.4110979 
Boa Nova,BA,Brasil;-14.365907;-40.2063056 
Boninal,BA,Brasil;-12.7095183;-41.8299984 
Carinhanha,BA,Brasil;-14.298524;-43.772349 
Iuiú,BA,Brasil;-14.4113008;-43.5508641 
Muquém de São Francisco,BA,Brasil;-11.2281863;-41.8768254 
São Gabriel,BA,Brasil;-13.603575;-39.4927143 
Teolândia,BA,Brasil;-13.2616682;-39.6612866 
Ubaíra,BA,Brasil;-11.3349074;-42.1305245 
Uibaí,BA,Brasil;-13.6269662;-41.3278287 
Barra da Estiva,BA,Brasil;-14.3379191;-43.7716651 
Malhada,BA,Brasil;-15.0232826;-42.3695423 
Mortugaba,BA,Brasil;-14.7936791;-40.1453848 
Nova Canaã,BA,Brasil;-10.7513728;-39.2075228 
Quijingue,BA,Brasil;-12.005623;-44.7000236 
Angical,BA,Brasil;-13.3744752;-42.5198469 
Botuporã,BA,Brasil;-14.5464079;-41.9379047 
Guajeru,BA,Brasil;-13.047749;-39.4554608 
São Miguel das Matas,BA,Brasil;-12.907806;-39.1905875 
Dom Macedo Costa,BA,Brasil;-13.5338389;-40.1502444 
Itiruçu,BA,Brasil;-10.0754917;-38.3476326 
Jeremoabo,BA,Brasil;-12.3053855;-38.6408979 
Teodoro Sampaio,BA,Brasil;-13.1033754;-39.7909837 
Brejões,BA,Brasil;-15.0397219;-41.9314228 
Cordeiros,BA,Brasil;-11.4302137;-42.5063185 
Gentio do Ouro,BA,Brasil;-13.419162;-42.1381486 
Érico Cardoso,BA,Brasil;-10.3445708;-39.8334411 
Andorinha,BA,Brasil;-14.9782759;-40.4092325 
Caatiba,BA,Brasil;-12.315088;-44.8616434 
Catolândia,BA,Brasil;-10.5715409;-40.2748824 
Antônio Gonçalves,BA,Brasil;-15.0338286;-41.2585109 
Belo Campo,BA,Brasil;-15.2435245;-40.6269506 
Itambé,BA,Brasil;-12.817268;-41.0709301 
Nova Redenção,BA,Brasil;-12.1376415;-40.3590055 
Macajuba,BA,Brasil;-11.9630941;-40.1657537 
Baixa Grande,BA,Brasil;-12.7020751;-44.0091066 
Tabocas do Brejo Velho,BA,Brasil;-11.4515262;-41.4357517 
América Dourada,BA,Brasil;-12.2439075;-41.6169181 
Iraquara,BA,Brasil;-15.1433695;-39.7230939 
Itaju do Colônia,BA,Brasil;-13.413079;-41.285121 
Ibicoara,BA,Brasil;-11.8447604;-40.7970527 
Tapiramutá,BA,Brasil;-13.828471;-44.45727 
Coribe,BA,Brasil;-12.9469824;-39.520431 
Elísio Medrado,BA,Brasil;-13.0280762;-40.0678848 
Nova Itarana,BA,Brasil;-11.691399;-41.468823 
Cafarnaum,BA,Brasil;-14.2117024;-44.2822314 
Feira da Mata,BA,Brasil;-10.6753416;-38.2815308 
Heliópolis,BA,Brasil;-14.2713813;-42.2576112 
Ibiassucê,BA,Brasil;-12.6489164;-40.9323004 
Ibiquera,BA,Brasil;-11.7495556;-39.1905275 
Ichu,BA,Brasil;-12.5634288;-41.3901717 
Lençóis,BA,Brasil;-9.1717089;-39.0574899 
Macururé,BA,Brasil;-12.8085637;-42.1674812 
Novo Horizonte,BA,Brasil;-12.979217;-44.05064 
Santana,BA,Brasil;-13.4041311;-44.1902554 
São Félix do Coribe,BA,Brasil;-16.843428;-40.1596925 
Jucuruçu,BA,Brasil;-16.0852591;-39.614789 
Itagimirim,BA,Brasil;-12.0315387;-44.260401 
Cotegipe,BA,Brasil;-13.7725318;-42.7168442 
Igaporã,BA,Brasil;-12.2818593;-41.1686734 
Wagner,BA,Brasil;-11.0116542;-42.3984029 
Itaguaçu da Bahia,BA,Brasil;-11.7618025;-41.9094904 
Barro Alto,BA,Brasil;-13.5803333;-41.8112152 
Rio de Contas,BA,Brasil;-14.571002;-42.943438 
Sebastião Laranjeiras,BA,Brasil;-13.2525307;-40.0842042 
Irajuba,BA,Brasil;-12.3555395;-40.9033041 
Lajedinho,BA,Brasil;-13.3309299;-42.2927623 
Caturama,BA,Brasil;-13.7612283;-41.0421315 
Contendas do Sincorá,BA,Brasil;-14.0346296;-42.1421925 
Lagoa Real,BA,Brasil;-11.5461033;-41.9781838 
Ibititá,BA,Brasil;-13.2600789;-40.3692123 
Planaltino,BA,Brasil;-11.5283388;-40.318907 
Várzea do Poço,BA,Brasil;-11.82207;-42.6111388 
